Requirement_Type__c,Status__c,Active__c,Normalized_Status__c
Agreement,Accepted,TRUE,Complete
Agreement,Approved,TRUE,Complete
Agreement,Canceled,TRUE,Canceled
Agreement,Canceled / Declined,TRUE,Canceled
Agreement,Complete,TRUE,Complete
Agreement,Created,TRUE,Created
Agreement,Delivered,TRUE,Complete
Agreement,Draft,TRUE,Draft
Agreement,Expired,TRUE,Denied
Agreement,Form-Filled,TRUE,Complete
Agreement,Incomplete,TRUE,Incomplete
Agreement,Not Started,TRUE,Not Started
Agreement,Out for Acceptance,TRUE,Out for Acceptance
Agreement,Out for Approval,TRUE,Out for Approval
Agreement,Out for Delivery,TRUE,Out for Delivery
Agreement,Out for Form-Filling,TRUE,Out for Form-Filling
Agreement,Out for Signature,TRUE,Out for Signature
Agreement,Pre-Send,TRUE,Pre-Send
Agreement,Send in Progress,TRUE,Send in Progress
Agreement,Signed,TRUE,Signed
Agreement,Waiting for Counter-Acceptance,TRUE,Waiting for Counter-Acceptance
Agreement,Waiting for Counter-Approval,TRUE,Waiting for Counter-Approval
Agreement,Waiting for Counter-Delivery,TRUE,Waiting for Counter-Delivery
Agreement,Waiting for Counter-Form-Filling,TRUE,Waiting for Counter-Form-Filling
Agreement,Waiting for Counter-Signature,TRUE,Waiting for Counter-Signature
Agreement,Waiting for my Delegation,TRUE,Waiting for my Delegation
Auto Insurance,Complete,TRUE,Complete
Auto Insurance,Incomplete,TRUE,Incomplete
Auto Insurance,Not Started,TRUE,Not Started
Background Check,Complete,TRUE,Complete
Background Check,Failed,TRUE,Denied
Background Check,Incomplete,TRUE,Incomplete
Background Check,Not Started,TRUE,Not Started
Background Check,Requested,TRUE,Requested
Background Check,Waived,TRUE,Ignore
Business License,Complete,TRUE,Complete
Business License,Incomplete,TRUE,Incomplete
Business License,Not Started,TRUE,Not Started
Chuzo Agreement,Complete,TRUE,Complete
Chuzo Agreement,Incomplete,TRUE,Incomplete
Chuzo Agreement,Not Started,TRUE,Not Started
Compliance,Approved,TRUE,Approved
Compliance,Approved Conditionally,TRUE,Complete
Compliance,Denied,TRUE,Denied
Compliance,In Progress,TRUE,In Progress
Compliance,Not Started,TRUE,Not Started
Contract,Canceled,TRUE,Canceled
Contract,Complete,TRUE,Complete
Contract,Denied,TRUE,Denied
Contract,Draft,TRUE,Draft
Contract,Incomplete,TRUE,Incomplete
Contract,New,TRUE,New
Contract,Not Started,TRUE,Not Started
Credit Check,Complete,TRUE,Complete
Credit Check,Failed,TRUE,Denied
Credit Check,Incomplete,TRUE,Incomplete
Credit Check,Not Started,TRUE,Not Started
Credit Check,Requested,TRUE,Requested
Credit Check,Waived,TRUE,Ignore
Driver's License,Complete,TRUE,Complete
Driver's License,Incomplete,TRUE,Incomplete
Driver's License,Not Started,TRUE,Not Started
ERP Setup,Complete,TRUE,Complete
ERP Setup,Incomplete,TRUE,Incomplete
ERP Setup,Not Started,TRUE,Not Started
Employment Form,Approved Box 1,TRUE,Complete
Employment Form,Approved Box 2,TRUE,Complete
Employment Form,Incomplete,TRUE,Incomplete
Employment Form,Not Started,TRUE,Not Started
Employment Form,Onboarding Approved,TRUE,Complete
Employment Form,Pending Validation,TRUE,Pending Validation
General Liability Insurance,Complete,TRUE,Complete
General Liability Insurance,Incomplete,TRUE,Incomplete
General Liability Insurance,Not Started,TRUE,Not Started
Net Terms,Complete,TRUE,Complete
Net Terms,Incomplete,TRUE,Incomplete
Net Terms,Not Started,TRUE,Not Started
Personal Guarantee,Complete,TRUE,Complete
Personal Guarantee,Incomplete,TRUE,Incomplete
Personal Guarantee,Not Started,TRUE,Not Started
Terms & Conditions,Complete,TRUE,Complete
Terms & Conditions,Incomplete,TRUE,Incomplete
Terms & Conditions,Not Started,TRUE,Not Started
Training,Completed,TRUE,Complete
Training,In Progress,TRUE,In Progress
Training,Incomplete,TRUE,Incomplete
Training,Not Started,TRUE,Not Started
Training,Passed,TRUE,Complete
Vendor Order Entry,Approved Box 1,TRUE,Complete
Vendor Order Entry,Approved Box 2,TRUE,Complete
Vendor Order Entry,Incomplete,TRUE,Incomplete
Vendor Order Entry,Not Started,TRUE,Not Started
Vendor Order Entry,Onboarding Approved,TRUE,Complete
Vendor Order Entry,Pending Validation,TRUE,Pending Validation
Worker's Compensation Insurance,Complete,TRUE,Complete
Worker's Compensation Insurance,Incomplete,TRUE,Incomplete
Worker's Compensation Insurance,Not Started,TRUE,Not Started
